Plant Name,Growth,Soil,Sunlight,Watering,Fertilization Type
Camellia,slow,acidic,partial sunlight,"Regular, moist soil",Organic
Cananga (Ylang-Ylang),moderate,loamy,full sunlight,"Regular, well-drained soil",Organic
Carrot Plant,moderate,sandy,full sunlight,"Regular, well-drained soil",Balanced
Cestrum,moderate,loamy,partial sunlight,"Regular, moist soil",Organic
Chayote,fast,well-drained,full sunlight,"Regular, moist soil",No
Chestnut,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Cineraria,moderate,moist,partial sunlight,"Regular, moist soil",Balanced
Cockscomb (Celosia),moderate,well-drained,full sunlight,Water when topsoil is dry,Organic
Coneflower,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Coreopsis,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Cress,fast,moist,full sunlight,"Regular, moist soil",Balanced
Croton,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Cyclamen,moderate,moist,indirect sunlight,"Regular, moist soil",Balanced
Daffodil,moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Dahlia,fast,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Date Palm,slow,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Devil’s Ivy,moderate,well-drained,indirect sunlight,"Regular, moist soil",Organic
Dianthus,moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Echinacea,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Elderberry,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Fennel,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Ficus Microcarpa,moderate,well-drained,partial sunlight,"Regular, well-drained soil",Organic
Foxglove,moderate,well-drained,partial sunlight,"Regular, moist soil",Balanced
Gardenia,slow,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Grape Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Guava,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Heliotrope,moderate,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Hops,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Ixia,moderate,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Jacaranda,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Jatropha,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Jasmine (Indoor),moderate,moist,indirect sunlight,"Regular, moist soil",Low-nitrogen
Kalanchoe,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Kiwi Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Knautia,moderate,well-drained,full sunlight,"Regular, well-drained soil",No
Lavender (French),slow,well-drained,full sunlight,"Regular, well-drained soil",Organic
Lemon Balm,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Lemon Tree,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Liatris,moderate,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Lilac,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Lobelia,moderate,moist,partial sunlight,"Regular, moist soil",Organic
Luffa,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Magnolia,slow,well-drained,full sunlight,"Regular, moist soil",Organic
Malva (Mallow),moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Mango,slow,well-drained,full sunlight,"Regular, well-drained soil",Organic
Maranta (Prayer Plant),moderate,moist,indirect sunlight,"Regular, moist soil",Balanced
Mimosa,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Morning Glory,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Moringa,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Nasturtium,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Neoregalia (Bromeliad),moderate,moist,indirect sunlight,"Regular, moist soil",Balanced
Nettle,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Olive Tree,slow,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Oregano,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Passionflower,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Peony,slow,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Pepper Plant,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Periwinkle,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Phlox,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Pomegranate,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Potato Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Pothos (Golden Pathos),moderate,well-drained,indirect sunlight,"Regular, moist soil",Balanced
Protea,slow,well-drained,full sunlight,"Regular, well-drained soil",Organic
Purslane,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Quince,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Red Hot Poker (Kniphofia),moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Red-leafed Maple,slow,well-drained,partial sunlight,"Regular, well-drained soil",Balanced
Rhododendron,slow,acidic,partial sunlight,"Regular, well-drained soil",Organic
Rudbeckia,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Sage,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Salvia,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Snowdrop,slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Spider Flower,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Star Jasmine,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Strawberry Plant,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Sweet Basil,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Sweet Potato Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Taro,moderate,moist,full sunlight,"Regular, moist soil",Organic
Thyme,slow,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Tiger Lily,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Tuberose,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Verbena,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Violet,moderate,moist,indirect sunlight,"Regular, moist soil",Organic
Wisteria,fast,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Yucca,slow,loamy,full sunlight,"Regular, moist soil",Balanced
Zebra Plant,moderate,moist,partial sunlight,"Regular, moist soil",Organic
Zephyranthes (Rain Lily),fast,acidic,full sunlight,"Regular, moist soil",Balanced
Bamboo Orchid,moderate,loamy,indirect sunlight,"Regular, well-drained soil",Organic
Buckwheat,fast,sandy,full sunlight,"Regular, moist soil",Low-nitrogen
Cabbage Palm,moderate,sandy,full sunlight,Water when topsoil is dry,Organic
Camelina,fast,loamy,full sunlight,"Regular, moist soil",No
Dandelion,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Elderflower,moderate,well-drained,full sunlight,"Regular, moist soil",No
Epazote,fast,moist,full sunlight,"Regular, well-drained soil",Organic
Fern (Maidenhair),slow,moist,indirect sunlight,"Regular, well-drained soil",Organic
Galangal,moderate,well-drained,partial sunlight,"Regular, moist soil",Balanced
Globe Thistle,slow,moist,full sunlight,"Regular, moist soil",Organic
Hummingbird Sage,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Indian Cress,moderate,moist,full sunlight,"Regular, moist soil",Low-nitrogen
Japanese Maple,slow,well-drained,partial sunlight,"Regular, moist soil",Organic
Lacandonian,moderate,loamy,partial sunlight,"Regular, moist soil",No
Lamb's Ear,moderate,moist,full sunlight,"Regular, moist soil",Balanced
Lemon Grass,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Lilac Bush,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Mandevilla,fast,loamy,full sunlight,"Regular, well-drained soil",Balanced
Marigold (African),fast,loamy,full sunlight,"Regular, moist soil",Organic
Mayapple,slow,well-drained,partial sunlight,"Regular, moist soil",Low-nitrogen
Nandina (Heavenly Bamboo),moderate,well-drained,partial sunlight,"Regular, well-drained soil",Organic
Nutmeg,moderate,loamy,full sunlight,"Regular, moist soil",Organic
Orchid (Vanilla),slow,well-drained,indirect sunlight,"Regular, well-drained soil",No
Peepal Tree,slow,well-drained,full sunlight,"Regular, moist soil",Organic
Plumeria,moderate,loamy,full sunlight,"Regular, well-drained soil",Low-nitrogen
Quaking Aspen,moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Quinoa,fast,loamy,full sunlight,"Regular, well-drained soil",No
Red Maple,slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Redwood,slow,moist,full sunlight,"Regular, moist soil",Low-nitrogen
River Birch,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Rose of Sharon,moderate,moist,full sunlight,"Regular, moist soil",Balanced
Rosemary Mint,moderate,well-drained,partial sunlight,"Regular, well-drained soil",No
Sago Palm,slow,well-drained,full sunlight,"Regular, well-drained soil",Organic
Scabiosa (Pincushion Flower),moderate,loamy,full sunlight,"Regular, moist soil",Organic
Scilla,moderate,moist,full sunlight,"Regular, moist soil",Low-nitrogen
Sedge,slow,well-drained,partial sunlight,"Regular, well-drained soil",Organic
Silene (Catchfly),moderate,loamy,full sunlight,"Regular, well-drained soil",No
Silverbell Tree,moderate,moist,full sunlight,"Regular, well-drained soil",Organic
Soursop,fast,well-drained,full sunlight,"Regular, moist soil",No
Stevia,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Sugarcane,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Tansy,slow,loamy,full sunlight,"Regular, moist soil",No
Teak,slow,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Themeda (Kangaroo Grass),fast,sandy,full sunlight,"Regular, moist soil",Organic
Tobacco Plant,fast,loamy,full sunlight,"Regular, well-drained soil",Balanced
Tuberose (Polianthes),moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Water Lily,slow,loamy,full sunlight,"Regular, moist soil",No
Wattle,moderate,sandy,full sunlight,Water when soil feels dry,No
Yew,slow,loamy,partial sunlight,Water when topsoil is dry,Balanced
Zea Mays (Corn),fast,loamy,full sunlight,Keep soil consistently moist,Low-nitrogen
Zebra Grass,moderate,well-drained,partial sunlight,Keep soil consistently moist,Low-nitrogen
Zoysia Grass,slow,sandy,full sunlight,Water weekly,Organic
Achillea (Yarrow),moderate,well-drained,full sunlight,Let soil dry between watering,Balanced
Ageratum,fast,loamy,partial sunlight,Keep soil slightly moist,Balanced
Angelonia,moderate,well-drained,full sunlight,Keep soil consistently moist,Organic
Armeria (Thrift),slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Bearded Iris,slow,sandy,partial sunlight,Keep soil evenly moist,Balanced
Bergamot,moderate,loamy,partial sunlight,Water when soil is dry,Balanced
Bigleaf Hydrangea,moderate,acidic,full sunlight,Keep soil consistently moist,Organic
Black Currant,moderate,loamy,partial sunlight,Water when soil feels dry,Organic
Black-Eyed Susan,fast,loamy,full sunlight,Water when topsoil is dry,Low-nitrogen
Blazing Star,moderate,loamy,full sunlight,Water when soil is dry,Organic
Bloodroot,slow,moist,partial sunlight,Keep soil slightly moist,Organic
Bluebell,slow,moist,partial sunlight,Water when soil feels dry,Organic
Borage,fast,loamy,full sunlight,Keep soil consistently moist,No
Calendula,fast,loamy,full sunlight,Water weekly,Organic
California Poppy,fast,sandy,full sunlight,Water when soil is dry,Organic
Carob Tree,slow,well-drained,full sunlight,Water when soil is dry,Balanced
Catmint,moderate,well-drained,full sunlight,Keep soil consistently moist,Balanced
Chives,fast,loamy,full sunlight,Keep soil evenly moist,Low-nitrogen
Chinese Lantern Plant,moderate,loamy,partial sunlight,Water when soil feels dry,Balanced
Clematis,moderate,well-drained,partial sunlight,Keep soil consistently moist,Organic
Clover,fast,loamy,full sunlight,Water when topsoil is dry,No
Coltsfoot,slow,moist,partial sunlight,Water when soil is dry,Low-nitrogen
Daffodils,slow,loamy,full sunlight,Keep soil consistently moist,Organic
Daisy Fleabane,moderate,loamy,partial sunlight,Water weekly,Low-nitrogen
Dogwood Tree,slow,loamy,partial sunlight,Keep soil consistently moist,Low-nitrogen
Dragonfruit Cactus,moderate,well-drained,full sunlight,Let soil dry between watering,No
Engelmann Spruce,slow,well-drained,full sunlight,Water when soil feels dry,Balanced
Fairy Lantern,moderate,loamy,partial sunlight,Keep soil slightly moist,Balanced
Fritillaria,slow,well-drained,partial sunlight,Water when soil is dry,No
Galax,moderate,moist,partial sunlight,Keep soil evenly moist,No
Ginkgo,slow,loamy,full sunlight,Water when topsoil is dry,Balanced
Grape Hyacinth,fast,loamy,full sunlight,Keep soil consistently moist,Organic
Guar,fast,sandy,full sunlight,Water when soil is dry,No
Gumwood Tree,moderate,loamy,partial sunlight,Water when soil is dry,Organic
Goldenrods,moderate,loamy,full sunlight,Keep soil moist,Organic
Goldenseal,slow,moist,partial sunlight,Keep soil moist,Balanced
Heliopsis,moderate,loamy,full sunlight,Keep soil moist,No
Henbane,moderate,loamy,full sunlight,Water when soil feels dry,Organic
Heracleum (Cow Parsnip),fast,loamy,partial sunlight,Keep soil moist,Balanced
Hops Vine,fast,well-drained,full sunlight,Keep soil moist,Low-nitrogen
Indian Grass,moderate,loamy,full sunlight,Water when soil is dry,Low-nitrogen
Islander (Agave),slow,well-drained,full sunlight,Let soil dry between watering,No
Ironwood,slow,loamy,full sunlight,Water when soil is dry,Organic
Jerusalem Artichoke,fast,loamy,full sunlight,Water when soil is dry,Balanced
Larkspur,moderate,loamy,partial sunlight,Keep soil moist,Balanced
Laelia Orchid,slow,well-drained,indirect sunlight,Keep soil consistently moist,No
Lamb's Ear,moderate,sandy,partial sunlight,Keep soil slightly moist,No
Lavender (English),moderate,well-drained,full sunlight,Let soil dry between watering,Balanced
Ligustrum,fast,loamy,partial sunlight,Water when topsoil is dry,Low-nitrogen
Lilac Tree,slow,loamy,partial sunlight,Water weekly,Balanced
